"","iteration time","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","beta_hat","p_power","p_cover"
"1",1,3,0,1,2000,2000,1,1,0,1,"IVW",0.618754203453767,0,0
"2",1,3,0,1,2000,2000,1,1,0,1,"Egger",0.63271770895806,6.18450239908697e-07,0.00380461712178803
"3",1,3,0,1,2000,2000,1,1,0,1,"Weighted median",0.619274695962539,0,0
"4",1,3,0,1,2000,2000,1,1,0,1,"Weighted mode",0.619578800973663,0,0
"5",1,3,0,1,2000,2000,1,1,0,1,"MR-RAPS",0.618726642079767,0,0
"6",1,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture",0.620398336995768,0,0
"7",1,3,0,1,2000,2000,1,1,0,1,"MR-Robust",0.618796342323054,0,0
"8",1,3,0,1,2000,2000,1,1,0,1,"MR-Lasso",0.618754203453767,0,0
"9",1,3,0,1,2000,2000,1,1,0,1,"Trans-OR",1.01586240705042,NA,NA
"10",1,3,0,1,2000,2000,1,1,0,1,"Trans-IPW",0.999758547130942,NA,NA
"11",1,3,0,1,2000,2000,1,1,0,1,"Trans-AIPW",0.999758547130942,NA,NA
"12",2,3,0,1,2000,2000,1,1,0,1,"IVW",0.583468891582933,0,0
"13",2,3,0,1,2000,2000,1,1,0,1,"Egger",0.595690540067441,0.0223587007480035,0.121056620392181
"14",2,3,0,1,2000,2000,1,1,0,1,"Weighted median",0.573182529469795,0,0
"15",2,3,0,1,2000,2000,1,1,0,1,"Weighted mode",0.629868594929297,0,0
"16",2,3,0,1,2000,2000,1,1,0,1,"MR-RAPS",0.587540243678293,0,0
"17",2,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture",0.583493081392953,1.11999298724186e-12,3.79978575715256e-07
"18",2,3,0,1,2000,2000,1,1,0,1,"MR-Robust",0.583196798066024,0,0
"19",2,3,0,1,2000,2000,1,1,0,1,"MR-Lasso",0.583468891582933,0,0
"20",2,3,0,1,2000,2000,1,1,0,1,"Trans-OR",1.01567052580388,NA,NA
"21",2,3,0,1,2000,2000,1,1,0,1,"Trans-IPW",1.00149898612391,NA,NA
"22",2,3,0,1,2000,2000,1,1,0,1,"Trans-AIPW",1.00149898612391,NA,NA
"23",3,3,0,1,2000,2000,1,1,0,1,"IVW",0.629886333406506,0,0
"24",3,3,0,1,2000,2000,1,1,0,1,"Egger",0.31848406072963,0.0137513861271961,1.34949601937606e-07
"25",3,3,0,1,2000,2000,1,1,0,1,"Weighted median",0.61280779929298,0,0
"26",3,3,0,1,2000,2000,1,1,0,1,"Weighted mode",0.598381085151775,0,0
"27",3,3,0,1,2000,2000,1,1,0,1,"MR-RAPS",0.622252261855558,0,0
"28",3,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture",0.628049784404647,5.33519526113579e-07,0.00298426656511652
"29",3,3,0,1,2000,2000,1,1,0,1,"MR-Robust",0.629374296052788,0,0
"30",3,3,0,1,2000,2000,1,1,0,1,"MR-Lasso",0.629886333406506,0,0
"31",3,3,0,1,2000,2000,1,1,0,1,"Trans-OR",1.17187570259882,NA,NA
"32",3,3,0,1,2000,2000,1,1,0,1,"Trans-IPW",1.10746939348961,NA,NA
"33",3,3,0,1,2000,2000,1,1,0,1,"Trans-AIPW",1.10746939348961,NA,NA
"34",4,3,0,1,2000,2000,1,1,0,1,"IVW",0.579622731686531,0,0
"35",4,3,0,1,2000,2000,1,1,0,1,"Egger",0.607955033323386,2.90744807296406e-06,0.00255993318729519
"36",4,3,0,1,2000,2000,1,1,0,1,"Weighted median",0.571373433931152,0,0
"37",4,3,0,1,2000,2000,1,1,0,1,"Weighted mode",0.568407829460711,0,0
"38",4,3,0,1,2000,2000,1,1,0,1,"MR-RAPS",0.578512868378406,0,0
"39",4,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture",0.580003200977596,0,0
"40",4,3,0,1,2000,2000,1,1,0,1,"MR-Robust",0.578949504578178,0,0
"41",4,3,0,1,2000,2000,1,1,0,1,"MR-Lasso",0.579622731686531,0,0
"42",4,3,0,1,2000,2000,1,1,0,1,"Trans-OR",0.946043270652157,NA,NA
