"","max iteration times","p_Z","gamma","heterogeneity","n_0","n_1","inter_ratio","inter_strength","alpha_modifier","eta_modifier","method","index","num"
"1",5,3,0,1,2000,2000,1,1,0,1,"IVW","Bias",-0.410141755959905
"2",5,3,0,1,2000,2000,1,1,0,1,"Egger","Bias",-0.456702693327213
"3",5,3,0,1,2000,2000,1,1,0,1,"Weighted median","Bias",-0.419970459172312
"4",5,3,0,1,2000,2000,1,1,0,1,"Weighted mode","Bias",-0.398233919096024
"5",5,3,0,1,2000,2000,1,1,0,1,"MR-RAPS","Bias",-0.4092629953954
"6",5,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture","Bias",-0.410505628352232
"7",5,3,0,1,2000,2000,1,1,0,1,"MR-Robust","Bias",-0.41047521749946
"8",5,3,0,1,2000,2000,1,1,0,1,"MR-Lasso","Bias",-0.410141755959905
"9",5,3,0,1,2000,2000,1,1,0,1,"Trans-OR","Bias",0.0217440820513789
"10",5,3,0,1,2000,2000,1,1,0,1,"Trans-IPW","Bias",0.00250372523383071
"11",5,3,0,1,2000,2000,1,1,0,1,"Trans-AIPW","Bias",0.00250372523383078
"12",5,3,0,1,2000,2000,1,1,0,1,"IVW","SD",0.0364623730391494
"13",5,3,0,1,2000,2000,1,1,0,1,"Egger","SD",0.128256677323238
"14",5,3,0,1,2000,2000,1,1,0,1,"Weighted median","SD",0.0385063305401916
"15",5,3,0,1,2000,2000,1,1,0,1,"Weighted mode","SD",0.0240593057365768
"16",5,3,0,1,2000,2000,1,1,0,1,"MR-RAPS","SD",0.0311435341385383
"17",5,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture","SD",0.0370138517395778
"18",5,3,0,1,2000,2000,1,1,0,1,"MR-Robust","SD",0.036480774465574
"19",5,3,0,1,2000,2000,1,1,0,1,"MR-Lasso","SD",0.0364623730391494
"20",5,3,0,1,2000,2000,1,1,0,1,"Trans-OR","SD",0.0897841806151261
"21",5,3,0,1,2000,2000,1,1,0,1,"Trans-IPW","SD",0.0635722925437159
"22",5,3,0,1,2000,2000,1,1,0,1,"Trans-AIPW","SD",0.0635722925437159
"23",5,3,0,1,2000,2000,1,1,0,1,"IVW","MSE",0.16954576462952
"24",5,3,0,1,2000,2000,1,1,0,1,"Egger","MSE",0.225027125370327
"25",5,3,0,1,2000,2000,1,1,0,1,"Weighted median","MSE",0.177857924069073
"26",5,3,0,1,2000,2000,1,1,0,1,"Weighted mode","MSE",0.159169104511105
"27",5,3,0,1,2000,2000,1,1,0,1,"MR-RAPS","MSE",0.168466119118654
"28",5,3,0,1,2000,2000,1,1,0,1,"Contamination Mixture","MSE",0.16988489612946
"29",5,3,0,1,2000,2000,1,1,0,1,"MR-Robust","MSE",0.169820751086837
"30",5,3,0,1,2000,2000,1,1,0,1,"MR-Lasso","MSE",0.16954576462952
"31",5,3,0,1,2000,2000,1,1,0,1,"Trans-OR","MSE",0.00853400419298668
"32",5,3,0,1,2000,2000,1,1,0,1,"Trans-IPW","MSE",0.00404770501931031
"33",5,3,0,1,2000,2000,1,1,0,1,"Trans-AIPW","MSE",0.00404770501931032
"34",5,3,0,1,4000,4000,1,1,0,1,"IVW","Bias",-0.414682892243779
"35",5,3,0,1,4000,4000,1,1,0,1,"Egger","Bias",-0.424033869356537
"36",5,3,0,1,4000,4000,1,1,0,1,"Weighted median","Bias",-0.418401618982097
"37",5,3,0,1,4000,4000,1,1,0,1,"Weighted mode","Bias",-0.423614535970503
"38",5,3,0,1,4000,4000,1,1,0,1,"MR-RAPS","Bias",-0.414940626369325
"39",5,3,0,1,4000,4000,1,1,0,1,"Contamination Mixture","Bias",-0.413391345241863
"40",5,3,0,1,4000,4000,1,1,0,1,"MR-Robust","Bias",-0.414997309288012
"41",5,3,0,1,4000,4000,1,1,0,1,"MR-Lasso","Bias",-0.414682892243779
"42",5,3,0,1,4000,4000,1,1,0,1,"Trans-OR","Bias",0.0110764189718777
"43",5,3,0,1,4000,4000,1,1,0,1,"Trans-IPW","Bias",0.00563377971565195
"44",5,3,0,1,4000,4000,1,1,0,1,"Trans-AIPW","Bias",0.005633779715652
